order_id,Club Name,First Order Date,Latest Ship Date,Total Products Ordered
470596,Rush Atletico Nv,2023-01-09,2023-01-26,6
470602,Rush Fremont,2023-01-09,2023-01-12,4
470608,Rush Hawaii,2023-01-09,2023-02-22,5
470613,Rush Florida,2023-01-09,2023-01-12,3
470624,Rush Kentucky Hardin,2023-01-09,2023-01-17,2
470629,Rush Washington,2023-01-09,2023-01-12,2
470635,Rush Ac Delray,2023-01-09,2023-01-25,7
470643,Rush Idaho,2023-01-09,2023-01-12,3
470647,Rush Fremont,2023-01-09,2023-01-12,3
470649,Rush Pensacola Fc,2023-01-09,2023-01-31,3
470652,Rush Southwest Missouri,2023-01-09,2023-02-22,7
470664,Rush Hawaii,2023-01-09,2023-01-30,3
470665,Rush Fremont,2023-01-09,2023-01-12,6
470668,Rush Coastal Perdido,2023-01-10,2023-01-23,2
470675,Rush Florida,2023-01-10,2023-01-16,4
470682,Rush Idaho,2023-01-10,2023-01-18,3
470695,Rush Tennessee Lobos,2023-01-10,2023-01-12,4
470700,Rush Pensacola Fc,2023-01-10,2023-01-21,2
470708,Rush Pensacola Fc,2023-01-10,2023-02-13,3
470714,Rush Pensacola Fc,2023-01-10,2023-01-11,1
470737,Rush Florida,2023-01-10,2023-01-12,6
470750,Rush Hillsboro,2023-01-10,2023-01-12,8
470753,Rush Minnesota,2023-01-10,2023-01-23,8
470764,Rush Florida,2023-01-10,2023-01-12,12
470772,Rush Atletico Nv,2023-01-10,2023-01-12,6
470774,Rush Coastal Perdido,2023-01-10,2023-01-12,1
470780,Rush Coastal Perdido,2023-01-10,2023-01-24,7
470781,Rush Hawaii,2023-01-10,2023-01-24,7
470782,Rush Fremont,2023-01-10,2023-01-21,3
470797,Rush Florida,2023-01-10,2023-01-20,2
470822,Rush Minnesota,2023-01-10,2023-02-22,12
470823,Rush Southwest Missouri,2023-01-10,2023-06-05,2
470830,Rush Tennessee Lobos,2023-01-10,2023-01-21,5
470853,Rush Virginia,2023-01-10,2023-01-20,1
470857,Rush Minnesota,2023-01-10,2023-01-23,3
470861,Rush Coastal Perdido,2023-01-10,2023-01-23,2
470866,Rush Minnesota,2023-01-10,2023-01-27,5
470876,Rush Hillsboro,2023-01-10,2023-01-20,3
470877,Rush Missouri,2023-01-10,2023-01-26,14
470883,Rush Fremont,2023-01-10,2023-01-20,3
470887,Rush Kansas,2023-01-10,2023-02-13,4
470890,Rush Ny Syracuse,2023-01-10,2023-01-24,11
470893,Rush United Fc,2023-01-11,2023-01-23,7
470898,Rush Kansas,2023-01-11,2023-02-13,4
470906,Rush Cajun Lafayette,2023-01-11,2023-01-23,4
470907,Rush United Fc,2023-01-11,2023-01-27,6
470908,Rush Fremont,2023-01-11,2023-01-23,3
470924,Rush Idaho,2023-01-11,2023-01-23,2
470926,Rush Florida,2023-01-11,2023-02-10,4
470929,Rush Gateway,2023-01-11,2023-01-20,3
470936,Rush United Fc,2023-01-11,2023-01-24,6
470945,Rush Virginia,2023-01-11,2023-02-14,7
470963,Rush Minnesota,2023-01-11,2023-01-23,3
470969,Rush Bellevue,2023-01-11,2023-01-24,1
470970,Rush Cajun Lafayette,2023-01-11,2023-02-01,7
470982,Rush Minnesota,2023-01-11,2023-01-24,3
470993,Rush Missouri,2023-01-11,2023-01-23,2
470998,Rush Fremont,2023-01-11,2023-01-23,3
471007,Rush Florida,2023-01-11,2023-02-13,3
471023,Rush Minnesota,2023-01-11,2023-01-23,1
471040,Rush Coaches,2023-01-11,2023-01-23,1
471041,Rush Minnesota,2023-01-11,2023-01-23,1
471047,Rush Chicago North,2023-01-11,2023-02-10,6
471051,Rush Florida,2023-01-11,2023-01-24,3
471055,Rush Virginia,2023-01-11,2023-02-13,4
471057,Rush Virginia,2023-01-11,2023-02-13,4
471058,Rush Mountain,2023-01-11,2023-01-24,3
471060,Rush Tennessee Lobos,2023-01-11,2023-02-13,2
471067,Rush Southwest Missouri,2023-01-11,2023-01-20,2
471068,Rush Virginia,2023-01-11,2023-02-13,4
471071,Rush Coastal Perdido,2023-01-11,2023-01-23,2
471072,Rush Union Georgia,2023-01-11,2023-01-20,2
471077,Rush Colorado,2023-01-11,2023-01-23,1
471082,Rush Florida,2023-01-11,2023-05-31,1
471093,Rush Coastal Perdido,2023-01-11,2023-01-24,2
471095,Rush Wisconsin,2023-01-11,2023-01-23,1
471106,Rush Idaho,2023-01-12,2023-01-23,4
471109,Rush Pikes Peak,2023-01-12,2023-01-23,1
471116,Rush Southwest Missouri,2023-01-12,2023-01-23,1
471122,Rush Flatirons,2023-01-12,2023-01-23,4
471137,Rush Virginia,2023-01-12,2023-02-10,4
471144,Rush Bellevue,2023-01-12,2023-02-08,5
471165,Rush Wisconsin,2023-01-12,2023-01-23,3
471166,Rush Michigan Lansing,2023-01-12,2023-02-23,8
471181,Rush Idaho,2023-01-12,2023-01-23,4
471186,Rush North Denver,2023-01-12,2023-01-26,3
471191,Rush Hillsboro,2023-01-12,2023-02-10,8
471193,Rush Idaho,2023-01-12,2023-01-23,4
471196,Rush Alaska,2023-01-12,2023-01-24,3
471199,Rush Colorado,2023-01-12,2023-01-20,2
471214,Rush Florida,2023-01-12,2023-01-24,3
471224,Rush Southwest Missouri,2023-01-12,2023-01-27,3
471240,Rush Idaho,2023-01-13,2023-01-23,5
471244,Rush Minnesota,2023-01-13,2023-01-23,3
471254,Rush Pensacola Fc,2023-01-13,2023-02-01,2
471257,Rush San Jose,2023-01-13,2023-02-13,1
471258,Rush North Carolina,2023-01-13,2023-02-23,3
471260,Rush United Fc,2023-01-13,2023-01-23,4
471262,Rush Maryland,2023-01-13,2023-02-23,6
471264,Rush Minnesota,2023-01-13,2023-01-23,8
471266,Rush Atletico Nv,2023-01-13,2023-02-13,3
471270,Rush Atletico Nv,2023-01-13,2023-01-24,4
471274,Rush Gateway,2023-01-13,2023-02-23,10
471275,Rush Minnesota,2023-01-13,2023-01-20,4
471277,Rush Virginia,2023-01-13,2023-01-23,4
471287,Rush United Fc,2023-01-13,2023-01-26,4
471293,Rush Kentucky Hardin,2023-01-13,2023-02-10,6
471300,Rush Ny Syracuse,2023-01-13,2023-01-20,3
471304,Rush Pensacola Fc,2023-01-13,2023-01-31,9
471312,Rush Hillsboro,2023-01-13,2023-02-23,5
471319,Rush Csra,2023-01-13,2023-01-26,5
471328,Rush New Mexico,2023-01-13,2023-01-26,6
471329,Rush Hillsboro,2023-01-13,2023-02-06,1
471330,Rush Minnesota,2023-01-13,2023-01-23,3
471334,Rush Colorado,2023-01-13,2023-02-10,3
471340,Rush Tennessee Lobos,2023-01-13,2023-01-23,4
471341,Rush Chicago North,2023-01-13,2023-02-10,10
471342,Rush Chicago North,2023-01-13,2023-02-23,5
471355,Rush Ny Select,2023-01-13,2023-01-23,3
471363,Rush Ct West Central,2023-01-13,2023-01-20,8
471366,Rush Tennessee Lobos,2023-01-13,2023-01-23,4
471369,Rush Twin Cities,2023-01-13,2023-02-17,1
471370,Rush Southwest Missouri,2023-01-13,2023-02-23,4
471372,Rush Maryland,2023-01-13,2023-01-23,2
471374,Rush Gateway,2023-01-13,2023-01-23,1
471376,Rush Kentucky Hardin,2023-01-13,2023-02-23,7
471378,Rush Florida,2023-01-13,2023-01-23,4
471385,Rush Union Georgia,2023-01-13,2023-01-23,4
471386,Rush Tennessee Lobos,2023-01-13,2023-01-24,3
471388,Rush Idaho,2023-01-13,2023-01-24,4
471401,Rush Tennessee Lobos,2023-01-13,2023-01-23,4
471406,Rush Florida,2023-01-13,2023-01-24,4
471411,Rush Virginia,2023-01-13,2023-01-23,6
471414,Rush Fremont,2023-01-13,2023-01-26,3
471416,Rush Idaho,2023-01-13,2023-01-23,1
471421,Rush Union Georgia,2023-01-13,2023-01-20,5
471428,Rush Hawaii,2023-01-13,2023-02-14,1
471433,Rush Minnesota,2023-01-13,2023-02-21,4
471438,Rush Michigan Lansing,2023-01-13,2023-01-23,6
471453,Rush Idaho,2023-01-13,2023-01-24,4
471458,Rush Quad Cities,2023-01-13,2023-02-23,10
471464,Rush Union Georgia,2023-01-13,2023-01-21,3
471483,Rush Atletico Nv,2023-01-14,2023-01-23,3
471487,Rush Michigan Downriver,2023-01-14,2023-01-21,6
471488,Rush Coastal Bayside,2023-01-14,2023-01-23,4
471489,Rush Coastal Bayside,2023-01-14,2023-01-21,2
471493,Rush Chicago North,2023-01-14,2023-02-23,6
471495,Rush Chicago North,2023-01-14,2023-02-23,6
471500,Rush Chicago Oswego,2023-01-14,2023-01-26,6
471510,Rush Union Georgia,2023-01-14,2023-01-23,4
471514,Rush Michigan Northville,2023-01-14,2023-02-23,4
471545,Rush Ny Syracuse,2023-01-14,2023-01-26,4
471560,Rush Alaska,2023-01-14,2023-01-20,5
471570,Rush National Soccer,2023-01-14,2023-01-26,1
471572,Rush Colorado,2023-01-14,2023-01-20,6
471581,Rush Chicago Oswego,2023-01-14,2023-01-23,1
471583,Rush Maryland,2023-01-14,2023-01-21,3
471598,Rush Tennessee Lobos,2023-01-14,2023-01-24,4
471605,Rush Gateway,2023-01-14,2023-01-21,1
471621,Rush Idaho,2023-01-14,2023-01-23,4
471626,Rush Kentucky Hardin,2023-01-14,2023-01-21,1
471632,Rush Southwest Missouri,2023-01-14,2023-01-21,2
471638,Rush Kentucky Hardin,2023-01-14,2023-01-20,6
471648,Rush Wisconsin,2023-01-14,2023-01-23,4
471654,Rush Michigan Lansing,2023-01-15,2023-01-23,1
471660,Rush Tennessee Lobos,2023-01-15,2023-01-23,7
471662,Rush Missouri,2023-01-15,2023-02-17,15
471664,Rush Missouri,2023-01-15,2023-01-26,4
471672,Rush Tennessee Lobos,2023-01-15,2023-01-20,4
471673,Rush Tennessee Lobos,2023-01-15,2023-01-20,4
471675,Rush Pensacola Fc,2023-01-15,2023-01-31,3
471681,Rush National Soccer,2023-01-15,2023-01-23,1
471682,Rush Florida,2023-01-15,2023-01-20,1
471685,Rush Missouri,2023-01-15,2023-01-23,4
471688,Rush Colorado,2023-01-15,2023-01-23,2
471704,Rush Michigan Lansing,2023-01-15,2023-01-20,1
471709,Rush Ct East Shoreline,2023-01-15,2023-01-24,10
471714,Rush Missouri,2023-01-15,2023-01-20,1
471720,Rush Ny Albany,2023-01-15,2023-01-23,7
471726,Rush Ny Rochester,2023-01-15,2023-01-23,4
471729,Rush Missouri,2023-01-15,2023-01-23,5
471730,Rush Michigan Lansing,2023-01-15,2023-01-23,1
471735,Rush Massachusetts North,2023-01-15,2023-02-10,6
471744,Rush Michigan Lansing,2023-01-15,2023-02-10,12
471746,Rush Ct East Shoreline,2023-01-15,2023-02-14,3
471757,Rush Florida,2023-01-15,2023-01-23,3
471767,Rush United Fc,2023-01-15,2023-01-23,2
471769,Rush Iowa,2023-01-15,2023-01-24,4
471778,Rush Iowa,2023-01-15,2023-01-23,3
471780,Rush Coastal Perdido,2023-01-15,2023-01-20,3
471785,Rush Michigan Lansing,2023-01-15,2023-01-26,6
471790,Rush Florida,2023-01-15,2023-01-21,1
471791,Rush United Fc,2023-01-15,2023-01-24,6
471795,Rush Ny Albany,2023-01-15,2023-01-25,1
471803,Rush Ac Delray,2023-01-16,2023-01-23,1
471810,Rush Northern Colorado,2023-01-16,2023-01-23,4
471836,Rush Michigan Lansing,2023-01-16,2023-01-27,6
471846,Rush Tennessee Lobos,2023-01-16,2023-01-23,4
471849,Rush Fremont,2023-01-16,2023-01-20,2
471852,Rush Kansas Wichita,2023-01-16,2023-01-23,6
471858,Rush Colorado,2023-01-16,2023-02-08,2
471881,Rush National Soccer,2023-01-16,2023-01-20,1
471884,Rush Iowa,2023-01-16,2023-01-23,4
471896,Rush Minnesota,2023-01-16,2023-01-23,3
471898,Rush North Carolina,2023-01-16,2023-01-20,4
471902,Rush Mississippi,2023-01-16,2023-01-26,11
471922,Rush Flatirons,2023-01-16,2023-01-21,4
471928,Rush Southwest Missouri,2023-01-16,2023-01-21,2
471950,Rush Coastal Perdido,2023-01-16,2023-01-23,1
471954,Rush Northern Colorado,2023-01-16,2023-02-15,11
471957,Rush Columbia Missouri,2023-01-16,2023-01-21,4
471958,Rush Mountain,2023-01-16,2023-01-24,8
471959,Rush Cajun Lafayette,2023-01-16,2023-02-16,16
471966,Rush Southern Maryland,2023-01-16,2023-01-21,2
471972,Rush Minnesota,2023-01-16,2023-01-20,3
471974,Rush Idaho,2023-01-16,2023-01-26,3
472000,Rush Iowa,2023-01-16,2023-01-20,3
472024,Rush Idaho,2023-01-16,2023-01-23,2
472033,Rush Hawaii,2023-01-17,2023-01-25,7
472034,Rush Minnesota,2023-01-17,2023-01-21,3
472039,Rush Idaho,2023-01-17,2023-01-21,4
472043,Rush Chicago Oswego,2023-01-17,2023-01-21,5
472048,Rush Florida,2023-01-17,2023-02-10,3
472055,Rush Cajun Lafayette,2023-01-17,2023-01-24,9
472057,Rush Tennessee Lobos,2023-01-17,2023-01-23,8
472071,Rush Iowa,2023-01-17,2023-01-27,4
472075,Rush Chicago South,2023-01-17,2023-01-24,1
472083,Rush Iowa,2023-01-17,2023-01-24,5
472088,Rush National Soccer,2023-01-17,2023-02-07,2
472101,Rush Florida,2023-01-17,2023-01-24,4
472111,Rush Kansas,2023-01-17,2023-01-21,15
472118,Rush Twin Cities,2023-01-17,2023-01-24,8
472121,Rush Iowa,2023-01-17,2023-02-10,4
472125,Rush Cedar Stars Houston,2023-01-17,2023-01-24,6
472141,Rush Chicago South,2023-01-17,2023-01-23,1
472144,Rush Maryland,2023-01-17,2023-01-21,4
472151,Rush Kansas,2023-01-17,2023-02-13,5
472166,Rush United Fc,2023-01-17,2023-01-20,6
472171,Rush Union Georgia,2023-01-17,2023-01-20,4
472175,Rush Missouri,2023-01-17,2023-01-24,6
472209,Rush Flatirons,2023-01-17,2023-02-13,4
472211,Rush Florida,2023-01-17,2023-02-10,4
472221,Rush Florida,2023-01-17,2023-02-10,3
472226,Rush Florida,2023-01-17,2023-02-13,4
472239,Rush Florida,2023-01-17,2023-01-21,4
472240,Rush Coastal Bayside,2023-01-17,2023-01-23,4
472243,Rush Iowa,2023-01-17,2023-01-21,4
472245,Rush Iowa,2023-01-17,2023-01-23,4
472247,Rush Flatirons,2023-01-17,2023-02-10,2
472258,Rush Tennessee Lobos,2023-01-17,2023-01-25,4
472281,Rush Mississippi,2023-01-17,2023-01-21,2
472304,Rush Missouri,2023-01-17,2023-01-26,6
472325,Rush Florida,2023-01-18,2023-01-24,3
472326,Rush Tennessee Lobos,2023-01-18,2023-01-23,4
472340,Rush Coastal Bayside,2023-01-18,2023-01-23,9
472355,Rush Florida,2023-01-18,2023-01-23,6
472356,Rush United Fc,2023-01-18,2023-01-21,2
472370,Rush Union Georgia,2023-01-18,2023-01-21,1
472374,Rush Florida,2023-01-18,2023-02-10,2
472384,Rush Florida,2023-01-18,2023-01-21,4
472395,Rush Florida,2023-01-18,2023-01-21,4
472399,Rush Pennsylvania,2023-01-18,2023-01-20,2
472403,Rush Virginia,2023-01-18,2023-01-21,2
472405,Rush Florida,2023-01-18,2023-01-21,4
472413,Rush Cajun Lafayette,2023-01-18,2023-01-23,9
472431,Rush Fremont,2023-01-18,2023-01-21,2
472435,Rush Fremont,2023-01-18,2023-01-21,2
472443,Rush Tennessee Lobos,2023-01-18,2023-01-21,10
472457,Rush Ny Syracuse,2023-01-18,2023-01-21,2
472458,Rush Bellevue,2023-01-18,2023-02-09,6
472461,Rush Pensacola Fc,2023-01-18,2023-01-23,7
472481,Rush Minnesota,2023-01-18,2023-01-23,5
