Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
1409408,Rush Union Georgia,2025-06-14,10.0,10.0,0.0,2025-06-30,SHIPPED
1409412,Rush Nevada,2025-06-14,10.0,10.0,0.0,2025-06-30,SHIPPED
1409413,Rush Hawaii,2025-06-14,16.0,16.0,0.0,2025-07-03,SHIPPED
1409417,Rush Northern Colorado,2025-06-14,5.0,5.0,0.0,2025-07-18,SHIPPED
1409419,Rush Colorado North,2025-06-14,12.0,12.0,0.0,2025-06-30,SHIPPED
1409423,Rush Bluffton,2025-06-14,10.0,10.0,0.0,2025-07-28,SHIPPED
1409425,Rush Bluffton,2025-06-14,13.0,0.0,13.0,,OPEN
1409428,Rush Star Cincinnati,2025-06-14,9.0,9.0,0.0,2025-07-09,SHIPPED
1409429,Rush Bluffton,2025-06-14,9.0,9.0,0.0,2025-06-30,SHIPPED
1409430,Rush Virginia,2025-06-14,12.0,12.0,0.0,2025-06-29,SHIPPED
1409431,Rush Baldwin,2025-06-14,9.0,9.0,0.0,2025-06-30,SHIPPED
1409438,Rush Emerald Coast United,2025-06-14,13.0,13.0,0.0,2025-06-30,SHIPPED
1409441,Pensacola Fc,2025-06-14,6.0,6.0,0.0,2025-07-07,SHIPPED
1409444,Rush Colorado North,2025-06-14,14.0,14.0,0.0,2025-06-30,SHIPPED
1409449,Rush Mobile,2025-06-14,14.0,14.0,0.0,2025-06-30,SHIPPED
1409453,Rush Washington,2025-06-14,11.0,11.0,0.0,2025-07-18,SHIPPED
1409456,Rush Pensacola Fc,2025-06-14,20.0,20.0,0.0,2025-07-01,SHIPPED
1409457,Rush Emerald Coast United,2025-06-14,12.0,12.0,0.0,2025-06-30,SHIPPED
1409458,Rush Chicago North,2025-06-14,7.0,7.0,0.0,2025-06-29,SHIPPED
1409460,Rush Bluffton,2025-06-14,15.0,15.0,0.0,2025-06-30,SHIPPED
1409461,Rush Kansas,2025-06-14,20.0,20.0,0.0,2025-06-28,SHIPPED
1409462,Rush Pensacola Fc,2025-06-14,9.0,9.0,0.0,2025-07-01,SHIPPED
1409463,Rush Mobile,2025-06-14,13.0,13.0,0.0,2025-07-08,SHIPPED
1409466,Rush Bluffton,2025-06-14,8.0,8.0,0.0,2025-06-30,SHIPPED
1409467,Rush Mobile,2025-06-14,3.0,3.0,0.0,2025-06-30,SHIPPED
1409472,Rush Northern Colorado,2025-06-14,1.0,1.0,0.0,2025-07-18,SHIPPED
1409474,Rush Mobile,2025-06-14,10.0,10.0,0.0,2025-06-30,SHIPPED
1409476,Rush Nevada,2025-06-14,10.0,10.0,0.0,2025-06-30,SHIPPED
1409478,Rush Ceres,2025-06-14,6.0,6.0,0.0,2025-06-30,SHIPPED
1409479,Rush Emerald Coast United,2025-06-14,10.0,10.0,0.0,2025-07-05,SHIPPED
1409480,Rush Nevada,2025-06-14,10.0,10.0,0.0,2025-06-30,SHIPPED
1409481,Rush Mobile,2025-06-14,13.0,13.0,0.0,2025-06-30,SHIPPED
1409482,Rush Virginia,2025-06-14,14.0,14.0,0.0,2025-06-29,SHIPPED
1409485,Rush Virginia,2025-06-14,12.0,12.0,0.0,2025-06-29,SHIPPED
1409487,Rush Hawaii,2025-06-14,19.0,19.0,0.0,2025-06-29,SHIPPED
1409488,Rush Fremont,2025-06-14,12.0,12.0,0.0,2025-06-29,SHIPPED
1409492,Rush Mobile,2025-06-14,9.0,9.0,0.0,2025-06-30,SHIPPED
1409493,Rush Mobile,2025-06-14,9.0,9.0,0.0,2025-06-30,SHIPPED
1409495,Rush Tennessee Lobos,2025-06-14,6.0,6.0,0.0,2025-06-28,SHIPPED
1409496,Rush Kansas,2025-06-14,14.0,14.0,0.0,2025-07-16,SHIPPED
1409497,Rush Mobile,2025-06-14,9.0,9.0,0.0,2025-06-30,SHIPPED
1409498,Rush Mobile,2025-06-14,11.0,11.0,0.0,2025-06-30,SHIPPED
